,date,price,market_cap,volume
2281,2020-03-17 00:00:00+00:00,0.001593021,197138248.8,100216039.7
2282,2020-03-18 00:00:00+00:00,0.001633127,203980841.1,74523963.3
2283,2020-03-19 00:00:00+00:00,0.001614417,199830238.3,74515510.59
2284,2020-03-20 00:00:00+00:00,0.001771485,219296170.9,223278152.7
2285,2020-03-21 00:00:00+00:00,0.001775731,222079539.3,158961780.3
2286,2020-03-22 00:00:00+00:00,0.00178139,220571686.0,133056132.8
2287,2020-03-23 00:00:00+00:00,0.001732532,213918482.2,135249014.3
2288,2020-03-24 00:00:00+00:00,0.001816974,224695677.0,140961242.0
2289,2020-03-25 00:00:00+00:00,0.001871697,231830875.3,153573605.5
2290,2020-03-26 00:00:00+00:00,0.00183483,227289691.5,137546598.6
2291,2020-03-27 00:00:00+00:00,0.001858288,230221150.2,129916987.0
2292,2020-03-28 00:00:00+00:00,0.001784003,221042549.9,118486362.4
2293,2020-03-29 00:00:00+00:00,0.001786612,221390520.7,139854381.5
2294,2020-03-30 00:00:00+00:00,0.001720109,213173580.7,127824727.5
2295,2020-03-31 00:00:00+00:00,0.001806671,224115611.1,130308976.2
2296,2020-04-01 00:00:00+00:00,0.001808498,224694247.5,125018849.7
2297,2020-04-02 00:00:00+00:00,0.001861275,231608793.2,133295930.0
2298,2020-04-03 00:00:00+00:00,0.001890354,233977644.1,135883818.4
2299,2020-04-04 00:00:00+00:00,0.001848268,229183776.2,130077705.1
2300,2020-04-05 00:00:00+00:00,0.001872732,232243150.6,129554098.0
2301,2020-04-06 00:00:00+00:00,0.001859239,230305063.6,123742386.6
2302,2020-04-07 00:00:00+00:00,0.001995278,247255676.2,145502189.3
2303,2020-04-08 00:00:00+00:00,0.002000403,248158953.8,141907833.7
2304,2020-04-09 00:00:00+00:00,0.002013397,250042291.9,127878282.3
2305,2020-04-10 00:00:00+00:00,0.002023642,251097766.9,123549292.2
2306,2020-04-11 00:00:00+00:00,0.001955323,242951200.6,134671135.3
2307,2020-04-12 00:00:00+00:00,0.001994547,247542049.6,128506938.0
2308,2020-04-13 00:00:00+00:00,0.001975581,245455791.6,128335738.5
2309,2020-04-14 00:00:00+00:00,0.001959548,243252945.8,129649088.2
2310,2020-04-15 00:00:00+00:00,0.001966765,244175467.5,124216048.0
2311,2020-04-16 00:00:00+00:00,0.001945633,241578570.5,131684089.3
2312,2020-04-17 00:00:00+00:00,0.002022847,251193747.3,146472116.8
2313,2020-04-18 00:00:00+00:00,0.001999602,248334766.0,121729852.7
2314,2020-04-19 00:00:00+00:00,0.002060906,255976766.6,127629256.5
2315,2020-04-20 00:00:00+00:00,0.002037452,253091749.6,127839052.9
2316,2020-04-21 00:00:00+00:00,0.0019746,245311641.1,129791433.3
2317,2020-04-22 00:00:00+00:00,0.001960256,243556559.8,124397419.9
2318,2020-04-23 00:00:00+00:00,0.0020074,249659994.3,126033359.2
2319,2020-04-24 00:00:00+00:00,0.002051379,254935165.8,140105892.4
2320,2020-04-25 00:00:00+00:00,0.002069124,257168786.5,161596051.3
2321,2020-04-26 00:00:00+00:00,0.002118373,263319084.6,179689638.2
2322,2020-04-27 00:00:00+00:00,0.002322766,288757849.5,233725625.1
2323,2020-04-28 00:00:00+00:00,0.002388485,296960896.5,224244998.5
2324,2020-04-29 00:00:00+00:00,0.002324443,289030583.2,200283719.7
2325,2020-04-30 00:00:00+00:00,0.00255796,318102189.9,242370965.8
2326,2020-05-01 00:00:00+00:00,0.002442312,303753871.6,235092727.6
2327,2020-05-02 00:00:00+00:00,0.002489004,309595787.5,219094154.1
2328,2020-05-03 00:00:00+00:00,0.002532069,315929917.6,206828067.3
2329,2020-05-04 00:00:00+00:00,0.002514702,312847194.5,206286035.2
2330,2020-05-05 00:00:00+00:00,0.002485957,307805818.7,202161479.3
2331,2020-05-06 00:00:00+00:00,0.00249268,310190099.2,191425230.4
2332,2020-05-07 00:00:00+00:00,0.002515865,313109921.0,194670688.8
2333,2020-05-08 00:00:00+00:00,0.002679576,333521246.8,231863021.6
2334,2020-05-09 00:00:00+00:00,0.002610649,325727926.6,233587352.8
2335,2020-05-10 00:00:00+00:00,0.002580034,321346729.7,232331569.8
2336,2020-05-11 00:00:00+00:00,0.002431493,302726858.9,232503916.5
2337,2020-05-12 00:00:00+00:00,0.002414175,300604019.0,225533469.7
2338,2020-05-13 00:00:00+00:00,0.002464379,306504298.8,203607474.5
